Order ID,Order Item ID,Carrier Slug,Tracking Number
174699,15408,australia-post,33XHG540344201000935100
174699,15409,australia-post,33XHG540344201000935100
174728,15429,yanwen,UH917059279YP
174737,15437,ubi,3698K331101301000935106
174734,15432,ubi,3698K331101401000935103
174730,15427,australia-post,33XHG540344301000935107
174786,15450,yanwen,UH917059248YP
174706,15412,yanwen,UH917059322YP
174706,15415,yanwen,UH917059322YP
174821,15465,NOTFOUND,
174827,15469,NOTFOUND,
174818,15461,NOTFOUND,
174818,15462,NOTFOUND,
174840,15479,NOTFOUND,
174796,15454,NOTFOUND,
174796,15455,NOTFOUND,
174796,15456,NOTFOUND,
174796,15457,NOTFOUND,
174865,15489,NOTFOUND,
174853,15484,NOTFOUND,
174845,15482,NOTFOUND,
174722,15422,NOTFOUND,
174792,15452,NOTFOUND,
174680,15391,NOTFOUND,
174680,15392,NOTFOUND,
174813,15459,NOTFOUND,
